A-n32-k5,31,5,100,784,yes
A-n33-k5,32,5,100,661,yes
A-n33-k6,32,6,100,742,yes
A-n34-k5,33,5,100,778,yes
A-n36-k5,35,5,100,799,yes
A-n37-k5,36,5,100,669,yes
A-n37-k6,36,6,100,949,yes
A-n38-k5,37,5,100,730,yes
A-n39-k5,38,5,100,822,yes
A-n39-k6,38,6,100,831,yes
A-n44-k6,43,6,100,937,yes
A-n45-k6,44,6,100,944,yes
A-n45-k7,44,7,100,1146,yes
A-n46-k7,45,7,100,914,yes
A-n48-k7,47,7,100,1073,yes
A-n53-k7,52,7,100,1010,yes
A-n54-k7,53,7,100,1167,yes
A-n55-k9,54,9,100,1073,yes
A-n60-k9,59,9,100,1354,yes
A-n61-k9,60,9,100,1034,yes
A-n62-k8,61,8,100,1288,yes
A-n63-k9,62,9,100,1616,yes
A-n63-k10,62,10,100,1314,yes
A-n64-k9,63,9,100,1401,yes
A-n65-k9,64,9,100,1174,yes
A-n69-k9,68,9,100,1159,yes
A-n80-k10,79,10,100,1763,yes
B-n31-k5,30,5,100,672,yes
B-n34-k5,33,5,100,788,yes
B-n35-k5,34,5,100,955,yes
B-n38-k6,37,6,100,805,yes
B-n39-k5,38,5,100,549,yes
B-n41-k6,40,6,100,829,yes
B-n43-k6,42,6,100,742,yes
B-n44-k7,43,7,100,909,yes
B-n45-k5,44,5,100,751,yes
B-n45-k6,44,6,100,678,yes
B-n50-k7,49,7,100,741,yes
B-n50-k8,49,8,100,1312,yes
B-n51-k7,50,7,100,1032,yes
B-n52-k7,51,7,100,747,yes
B-n56-k7,55,7,100,707,yes
B-n57-k7,56,7,100,1153,yes
B-n57-k9,56,9,100,1598,yes
B-n63-k10,62,10,100,1496,yes
B-n64-k9,63,9,100,861,yes
B-n66-k9,65,9,100,1316,yes
B-n67-k10,66,10,100,1032,yes
B-n68-k9,67,9,100,1272,yes
B-n78-k10,77,10,100,1221,yes
E-n13-k4,12,4,6000,247,yes
E-n22-k4,21,4,6000,375,yes
E-n23-k3,22,3,4500,569,yes
E-n30-k3,29,3,4500,534,yes
E-n31-k7,30,7,140,379,yes
E-n33-k4,32,4,8000,835,yes
E-n51-k5,50,5,160,521,yes
E-n76-k7,75,7,220,682,yes
E-n76-k8,75,8,180,735,yes
E-n76-k10,75,10,140,830,yes
E-n76-k14,75,14,100,1021,yes
E-n101-k8,100,8,200,815,yes
E-n101-k14,100,14,112,1067,yes
F-n45-k4,44,4,2010,724,yes
F-n72-k4,71,4,30000,237,yes
F-n135-k7,134,7,2210,1162,yes
M-n101-k10,100,10,200,820,yes
M-n121-k7,120,7,200,1034,yes
M-n151-k12,150,12,200,1015,yes
M-n200-k16,199,16,200,1274,yes
M-n200-k17,199,17,200,1275,yes
P-n16-k8,15,8,35,450,yes
P-n19-k2,18,2,160,212,yes
P-n20-k2,19,2,160,216,yes
P-n21-k2,20,2,160,211,yes
P-n22-k2,21,2,160,216,yes
P-n22-k8,21,8,3000,603,yes
P-n23-k8,22,8,40,529,yes
P-n40-k5,39,5,140,458,yes
P-n45-k5,44,5,150,510,yes
P-n50-k7,49,7,150,554,yes
P-n50-k8,49,8,120,631,yes
P-n50-k10,49,10,100,696,yes
P-n51-k10,50,10,80,741,yes
P-n55-k7,54,7,170,568,yes
P-n55-k10,54,10,115,694,yes
P-n55-k15,54,15,70,989,yes
P-n60-k10,59,10,120,744,yes
P-n60-k15,59,15,80,968,yes
P-n65-k10,64,10,130,792,yes
P-n70-k10,69,10,135,827,yes
P-n76-k4,75,4,350,593,yes
P-n76-k5,75,5,280,627,yes
P-n101-k4,100,4,400,681,yes
CMT1,50,5,160,524.61,yes
CMT2,75,10,140,835.26,yes
CMT3,100,8,200,826.14,yes
CMT4,150,12,200,1028.42,yes
CMT5,199,17,200,1291.29,yes
CMT6,50,6,160,555.43,yes
CMT7,75,11,140,909.68,yes
CMT8,100,9,200,865.94,yes
CMT9,150,14,200,1162.55,yes
CMT10,199,18,200,1395.85,yes
CMT11,120,7,200,1042.12,yes
CMT12,100,10,200,819.56,yes
CMT13,120,11,200,1541.14,yes
CMT14,100,11,200,866.37,yes
